epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9873,1.40514,2.3864,1.49396,0.31713,0.26137,0.24749,0.14292,1.48393,2.0305,1.59425,0.000332606,0.000332606,0.000332606
2,148.569,1.41388,1.96103,1.50928,0.3141,0.29087,0.23952,0.13494,1.5845,2.14755,1.70717,0.000652753,0.000652753,0.000652753
3,218.342,1.42897,1.8882,1.52303,0.32394,0.27538,0.25039,0.14095,1.59726,2.01461,1.67171,0.000959701,0.000959701,0.000959701
4,287.124,1.40779,1.78851,1.51939,0.38633,0.31893,0.30576,0.17945,1.50419,1.75797,1.60479,0.0009406,0.0009406,0.0009406
5,355.966,1.39191,1.70324,1.49771,0.38433,0.34012,0.33073,0.20351,1.42885,1.67122,1.54661,0.0009208,0.0009208,0.0009208
6,425.285,1.36556,1.62022,1.48133,0.37318,0.33071,0.30089,0.17591,1.43593,1.76434,1.55618,0.000901,0.000901,0.000901
7,494.152,1.33684,1.61468,1.4711,0.41176,0.35384,0.34934,0.20797,1.46649,1.60334,1.54203,0.0008812,0.0008812,0.0008812
8,562.978,1.327,1.54504,1.45428,0.45775,0.35742,0.3673,0.23317,1.36798,1.56127,1.50158,0.0008614,0.0008614,0.0008614
9,631.722,1.32058,1.50498,1.44725,0.45644,0.36307,0.37444,0.22895,1.38591,1.50151,1.50399,0.0008416,0.0008416,0.0008416
10,701.12,1.31954,1.50485,1.44955,0.4556,0.35837,0.36683,0.22499,1.39161,1.57169,1.51173,0.0008218,0.0008218,0.0008218
11,770.577,1.29946,1.44824,1.43433,0.47253,0.38649,0.40851,0.25978,1.3342,1.47227,1.46614,0.000802,0.000802,0.000802
12,839.572,1.29646,1.43677,1.43031,0.47213,0.38125,0.41456,0.25962,1.35268,1.4282,1.45596,0.0007822,0.0007822,0.0007822
13,908.196,1.27601,1.4035,1.41946,0.55552,0.34709,0.41778,0.27021,1.3413,1.40241,1.46912,0.0007624,0.0007624,0.0007624
14,977.534,1.29021,1.39772,1.41691,0.50159,0.38596,0.41344,0.26091,1.32588,1.3696,1.43683,0.0007426,0.0007426,0.0007426
15,1047.07,1.27764,1.3664,1.41248,0.45236,0.39159,0.38811,0.25394,1.3061,1.41443,1.4331,0.0007228,0.0007228,0.0007228
16,1115.77,1.26685,1.33752,1.40219,0.52521,0.38238,0.43671,0.28686,1.29075,1.31923,1.43548,0.000703,0.000703,0.000703
17,1184.21,1.2492,1.34406,1.403,0.50013,0.38853,0.43558,0.28606,1.26588,1.33417,1.40475,0.0006832,0.0006832,0.0006832
18,1252.98,1.24843,1.31233,1.39332,0.50432,0.3956,0.42513,0.2766,1.29002,1.36507,1.43134,0.0006634,0.0006634,0.0006634
19,1321.69,1.23685,1.30477,1.38877,0.53721,0.40566,0.46373,0.3103,1.27708,1.29227,1.42949,0.0006436,0.0006436,0.0006436
20,1390.49,1.23325,1.28037,1.38516,0.51341,0.40403,0.44625,0.29722,1.25985,1.28803,1.40646,0.0006238,0.0006238,0.0006238
21,1458.99,1.23457,1.26938,1.38409,0.52749,0.39962,0.45885,0.30376,1.28073,1.26167,1.41924,0.000604,0.000604,0.000604
22,1527.43,1.24561,1.26902,1.38535,0.53985,0.41395,0.46796,0.3091,1.24407,1.25795,1.39312,0.0005842,0.0005842,0.0005842
23,1596.64,1.24458,1.23653,1.37867,0.51589,0.42377,0.46739,0.3122,1.27019,1.26784,1.40589,0.0005644,0.0005644,0.0005644
24,1666.12,1.20359,1.22351,1.36199,0.53651,0.41529,0.47662,0.32159,1.23259,1.2367,1.3893,0.0005446,0.0005446,0.0005446
25,1735.51,1.19952,1.20638,1.36287,0.55093,0.41411,0.48457,0.32465,1.24842,1.20702,1.39551,0.0005248,0.0005248,0.0005248
26,1805.1,1.20801,1.19179,1.36387,0.53518,0.43105,0.47438,0.31304,1.26711,1.20583,1.39194,0.000505,0.000505,0.000505
